n_estimators,accuracy,f1_score,recall,roc_auc,,,accuracy,f1_score,recall,roc_auc
317,0.98392702,0.915331808,0.869565217,0.988857646,,,,,,
318,0.983492615,0.912844037,0.865217391,0.988859745,,,,,,
319,0.983492615,0.912844037,0.865217391,0.988851351,,,,,,
320,0.983492615,0.912844037,0.865217391,0.988845056,,,,,,
321,0.983492615,0.912844037,0.865217391,0.988928991,,,,,,
322,0.983492615,0.912844037,0.865217391,0.988939483,,,,,,
323,0.983492615,0.912844037,0.865217391,0.98894368,,,,,,
324,0.983492615,0.912844037,0.865217391,0.988947876,,,,,,
325,0.983492615,0.912844037,0.865217391,0.98903391,,,,,,
326,0.983492615,0.912844037,0.865217391,0.989004532,,,,,,
327,0.983492615,0.912844037,0.865217391,0.989006631,,,,,,
328,0.983492615,0.912844037,0.865217391,0.98896886,,,,,,
329,0.983492615,0.912844037,0.865217391,0.988941581,,,,,,
330,0.983492615,0.912844037,0.865217391,0.988945778,,,,,,
331,0.983492615,0.912844037,0.865217391,0.988945778,,,,,,
332,0.983492615,0.912844037,0.865217391,0.988933188,,,,,,
333,0.983492615,0.912844037,0.865217391,0.988931089,,,,,,
334,0.983492615,0.912844037,0.865217391,0.988920598,,,,,,
335,0.983492615,0.912844037,0.865217391,0.988901712,,,,,,
336,0.983492615,0.912844037,0.865217391,0.989067484,,,,,,
337,0.983492615,0.912844037,0.865217391,0.989056992,,,,,,
338,0.983492615,0.912844037,0.865217391,0.98905909,,,,,,
339,0.983492615,0.912844037,0.865217391,0.989082172,,,,,,
340,0.983492615,0.912844037,0.865217391,0.989077975,,,,,,
341,0.983492615,0.912844037,0.865217391,0.989069582,,,,,,
342,0.983492615,0.912844037,0.865217391,0.989084271,,,,,,
343,0.983492615,0.912844037,0.865217391,0.989084271,,,,,,
344,0.983492615,0.912844037,0.865217391,0.989113648,,,,,,
345,0.983492615,0.912844037,0.865217391,0.989094762,,,,,,
346,0.983492615,0.912844037,0.865217391,0.989077975,,,,,,
347,0.983492615,0.912844037,0.865217391,0.989061189,,,,,,
348,0.983492615,0.912844037,0.865217391,0.989027615,,,,,,
349,0.983492615,0.912844037,0.865217391,0.989017123,,,,,,
350,0.983492615,0.912844037,0.865217391,0.989004532,,,,,,
351,0.983492615,0.912844037,0.865217391,0.989015024,,,,,,
352,0.983492615,0.912844037,0.865217391,0.989008729,,,,,,
353,0.983492615,0.912844037,0.865217391,0.988989844,,,,,,
