n_estimators,learning_rate,train_ratio,val_ratio,test_ratio,train_auc,train_logloss,train_accuracy,train_precision,train_recall,train_f1,val_auc,val_logloss,val_accuracy,val_precision,val_recall,val_f1,test_auc,test_logloss,test_accuracy,test_precision,test_recall,test_f1,split_label,overfit_auc
385,0.01,0.8,0.1,0.1,0.9992355857855582,0.06278240074075342,0.9892438070404173,0.9201228878648233,0.9771615008156607,0.9477848101265823,0.9818256996259891,0.08174439282843343,0.9830729166666666,0.9210526315789473,0.9090909090909091,0.9150326797385621,0.9842689871633431,0.08966999469924784,0.9791666666666666,0.8860759493670886,0.9090909090909091,0.8974358974358975,80/10/10,0.017409886159569066
385,0.0113,0.8,0.1,0.1,0.9994482512548001,0.054348387648584205,0.9910365058670143,0.9332298136645962,0.9804241435562806,0.9562450278440732,0.9821827954968332,0.07541097307586926,0.9830729166666666,0.9210526315789473,0.9090909090909091,0.9150326797385621,0.9825774804067134,0.08322597133726196,0.9817708333333334,0.8987341772151899,0.922077922077922,0.9102564102564102,80/10/10,0.017265455757966897
85,0.04,0.8,0.1,0.1,0.9986941749451131,0.07283425939064482,0.9882659713168188,0.9142419601837672,0.9738988580750407,0.943127962085308,0.9815719736124947,0.08692797930853269,0.9830729166666666,0.9210526315789473,0.9090909090909091,0.9150326797385621,0.9877929595729885,0.09474698300841954,0.9765625,0.8641975308641975,0.9090909090909091,0.8860759493670886,80/10/10,0.017122201332618436
195,0.02,0.8,0.1,0.1,0.999335420408619,0.05994414942939114,0.9898956975228161,0.9244992295839753,0.9787928221859706,0.9508716323296355,0.983554795421655,0.07881297111429156,0.9830729166666666,0.9210526315789473,0.9090909090909091,0.9150326797385621,0.9843441652414154,0.0871762809185213,0.9778645833333334,0.875,0.9090909090909091,0.89171974522293,80/10/10,0.015780624986963976
215,0.0183,0.8,0.1,0.1,0.9993032252195254,0.06027176732163979,0.9892438070404173,0.9188361408882083,0.9787928221859706,0.9478672985781991,0.981994850301652,0.07825692083531652,0.9830729166666666,0.9210526315789473,0.9090909090909091,0.9150326797385621,0.983385644745992,0.0883654562772075,0.9791666666666666,0.8765432098765432,0.922077922077922,0.8987341772151899,80/10/10,0.017308374917873404
215,0.0144,0.8,0.1,0.1,0.9985044005506855,0.08240247198778343,0.9877770534550195,0.9113149847094801,0.9722675367047309,0.9408050513022889,0.9822767680944237,0.09496260201440454,0.9830729166666666,0.9210526315789473,0.9090909090909091,0.9150326797385621,0.9851899186197305,0.10584795910180927,0.9791666666666666,0.8765432098765432,0.922077922077922,0.8987341772151899,80/10/10,0.016227632456261798
125,0.02,0.8,0.1,0.1,0.9964989947126046,0.1073855198148744,0.9866362451108214,0.9016641452344932,0.9722675367047309,0.9356357927786499,0.9803973161426128,0.11685114416563679,0.9830729166666666,0.9210526315789473,0.9090909090909091,0.9150326797385621,0.9889958088221474,0.12463815888464119,0.9778645833333334,0.8658536585365854,0.922077922077922,0.8930817610062893,80/10/10,0.016101678569991784
115,0.02,0.8,0.1,0.1,0.9954944457391438,0.11895385197871447,0.9851694915254238,0.8907185628742516,0.9706362153344209,0.9289617486338798,0.9797019189204428,0.1267419957360704,0.9830729166666666,0.9210526315789473,0.9090909090909091,0.9150326797385621,0.9898603567199805,0.1343099847063383,0.9778645833333334,0.8658536585365854,0.922077922077922,0.8930817610062893,80/10/10,0.015792526818701025
245,0.015,0.8,0.1,0.1,0.999003721350343,0.06715194925854184,0.988754889178618,0.9184615384615384,0.9738988580750407,0.9453681710213777,0.9830849324337023,0.08367378358177448,0.9830729166666666,0.9210526315789473,0.9090909090909091,0.9150326797385621,0.9833480557069557,0.09393107970655512,0.98046875,0.8875,0.922077922077922,0.9044585987261147,80/10/10,0.01591878891664067
225,0.0144,0.8,0.1,0.1,0.998599804643137,0.07821509184499548,0.988102998696219,0.9141104294478528,0.9722675367047309,0.9422924901185771,0.9821076174187606,0.0913901349276743,0.9830729166666666,0.9210526315789473,0.9090909090909091,0.9150326797385621,0.9843253707218975,0.10268759645845339,0.9791666666666666,0.8765432098765432,0.922077922077922,0.8987341772151899,80/10/10,0.016492187224376398
235,0.0144,0.8,0.1,0.1,0.9987358219328397,0.07420613569579279,0.9884289439374185,0.916923076923077,0.9722675367047309,0.943784639746635,0.9821452064577969,0.08834810479470541,0.9830729166666666,0.9210526315789473,0.9090909090909091,0.9150326797385621,0.9841186310071983,0.09949522990664524,0.98046875,0.8875,0.922077922077922,0.9044585987261147,80/10/10,0.016590615475042814
