n_estimators,learning_rate,val_auc,test_accuracy,test_f1,test_recall,test_auc
350,0.0017,0.9838207703344002,0.9635179153094463,0.8352941176470589,0.9281045751633987,0.9890373901610813
360,0.0017,0.9840414965235625,0.9641693811074918,0.8377581120943953,0.9281045751633987,0.9891981877169586
370,0.0017,0.9839899937460913,0.9641693811074918,0.8377581120943953,0.9281045751633987,0.9893069625341695
380,0.0017,0.9838575580325939,0.9641693811074918,0.8377581120943953,0.9281045751633987,0.9894204666912593
390,0.0017,0.9838134127947614,0.965472312703583,0.8427299703264095,0.9281045751633987,0.9895197828287127
400,0.0017,0.9837913401758452,0.9661237785016287,0.8452380952380952,0.9281045751633987,0.9895812642471363
100,0.0028,0.9822646507008057,0.9583061889250815,0.8160919540229885,0.9281045751633987,0.9864764526167437
110,0.0028,0.982514807048523,0.9602605863192183,0.8231884057971014,0.9281045751633987,0.9863724071394114
120,0.0028,0.9827796784755177,0.9609120521172638,0.8255813953488372,0.9281045751633987,0.9869588452843753
130,0.0028,0.9833535665673399,0.9615635179153095,0.8279883381924198,0.9281045751633987,0.9873230044550382
140,0.0028,0.9831549129970938,0.9615635179153095,0.8279883381924198,0.9281045751633987,0.9873844858734618
150,0.0028,0.98317698561601,0.9628664495114007,0.8328445747800587,0.9281045751633987,0.9875500127692176
160,0.0028,0.983007762204319,0.9628664495114007,0.8328445747800587,0.9281045751633987,0.9879661946785467
170,0.0028,0.9834197844240886,0.9628664495114007,0.8328445747800587,0.9281045751633987,0.9881884736528476
180,0.0028,0.9833829967258949,0.9635179153094463,0.8352941176470589,0.9281045751633987,0.9884675047056932
190,0.0028,0.9838097340249421,0.9641693811074918,0.8377581120943953,0.9281045751633987,0.9886141142419341
200,0.0028,0.9840231026744656,0.9641693811074918,0.8377581120943953,0.9281045751633987,0.9886046555621766
210,0.0028,0.9841555383879631,0.9641693811074918,0.8377581120943953,0.9281045751633987,0.9887749117978113
220,0.0028,0.983956884817717,0.9648208469055375,0.8402366863905325,0.9281045751633987,0.9888600399156285
230,0.0028,0.984026781444285,0.9648208469055375,0.8402366863905325,0.9281045751633987,0.9889404386935672
240,0.0028,0.9841077143803112,0.9661237785016287,0.8452380952380952,0.9281045751633987,0.9890255668113844
250,0.0028,0.9841003568406724,0.9667752442996743,0.8477611940298507,0.9281045751633987,0.9891579883279892
260,0.0028,0.9840488540632013,0.9661237785016287,0.8452380952380952,0.9281045751633987,0.9891296122887168
270,0.0028,0.9840635691424787,0.9667752442996743,0.8477611940298507,0.9281045751633987,0.9891674470077467
280,0.0028,0.9841003568406723,0.9667752442996743,0.8477611940298507,0.9281045751633987,0.9891910937071404
290,0.0028,0.9842254350145312,0.9667752442996743,0.8477611940298507,0.9281045751633987,0.9891154242690805
300,0.0028,0.9843210830298348,0.9674267100977199,0.8502994011976048,0.9281045751633987,0.9890775895500505
310,0.0028,0.9842548651730861,0.9674267100977199,0.8502994011976048,0.9281045751633987,0.9892241990862916
320,0.0028,0.9842769377920024,0.9674267100977199,0.8502994011976048,0.9281045751633987,0.9890870482298081
330,0.0028,0.9841003568406725,0.9674267100977199,0.8502994011976048,0.9281045751633987,0.9889971907721121
340,0.0028,0.9840782842217562,0.9674267100977199,0.8502994011976048,0.9281045751633987,0.9889451680334459
350,0.0028,0.9840414965235624,0.9674267100977199,0.8502994011976048,0.9281045751633987,0.9889357093536884
360,0.0028,0.9844240885847773,0.9680781758957655,0.851963746223565,0.9215686274509803,0.9888978746346585
370,0.0028,0.9844535187433323,0.9680781758957655,0.851963746223565,0.9215686274509803,0.9889026039745372
380,0.0028,0.9845270941397198,0.968729641693811,0.8545454545454545,0.9215686274509803,0.9890468488408387
