n_estimators,learning_rate,max_depth,num_leaves,val_auc
350,0.0016,8,31,0.9877832512315271
350,0.0016,8,50,0.9878132362390233
350,0.0016,8,80,0.9878132362390233
350,0.0016,10,31,0.9868622831441421
350,0.0016,10,50,0.9863696723067038
350,0.0016,10,80,0.9864125080316984
350,0.0016,12,31,0.9855729278218034
350,0.0016,12,50,0.9842107517669737
350,0.0016,12,80,0.9842921396444635
375,0.0016,8,31,0.9879717284215035
375,0.0016,8,50,0.9878860569715142
375,0.0016,8,80,0.9878860569715142
375,0.0016,10,31,0.9867551938316556
375,0.0016,10,50,0.9863653887342042
375,0.0016,10,80,0.9864210751766974
375,0.0016,12,31,0.9858813450417648
375,0.0016,12,50,0.9842621546369672
375,0.0016,12,80,0.9842535874919683
400,0.0016,8,31,0.9880745341614907
400,0.0016,8,50,0.9880359820089956
400,0.0016,8,80,0.9880359820089956
400,0.0016,10,31,0.9866652388091668
400,0.0016,10,50,0.9862797172842149
400,0.0016,10,80,0.9862754337117156
400,0.0016,12,31,0.986031270079246
400,0.0016,12,50,0.9843007067894625
400,0.0016,12,80,0.9843007067894624
25,0.0021,8,31,0.9870186335403728
25,0.0021,8,50,0.9871728421503534
25,0.0021,8,80,0.9871728421503534
25,0.0021,10,31,0.9869522381666309
25,0.0021,10,50,0.9861940458342258
25,0.0021,10,80,0.9862197472692225
25,0.0021,12,31,0.98336046262583
25,0.0021,12,50,0.9819811522810022
25,0.0021,12,80,0.9822060398372241
50,0.0021,8,31,0.9876547440565433
50,0.0021,8,50,0.9875519383165561
50,0.0021,8,80,0.9875519383165561
50,0.0021,10,31,0.9869736560291283
50,0.0021,10,50,0.9865645748554294
50,0.0021,10,80,0.9865774255729278
50,0.0021,12,31,0.9848661383593917
50,0.0021,12,50,0.9828764189333905
50,0.0021,12,80,0.9830070678946241
75,0.0021,8,31,0.9877082887127865
75,0.0021,8,50,0.9875969158278004
75,0.0021,8,80,0.9875969158278004
75,0.0021,10,31,0.9867637609766545
75,0.0021,10,50,0.9863161276504604
75,0.0021,10,80,0.9863268365817092
75,0.0021,12,31,0.9844934675519383
75,0.0021,12,50,0.9830691796958663
75,0.0021,12,80,0.9829985007496251
100,0.0021,8,31,0.9875883486828014
100,0.0021,8,50,0.9875283786678088
100,0.0021,8,80,0.9875283786678088
100,0.0021,10,31,0.9866802313129149
100,0.0021,10,50,0.9861876204754766
100,0.0021,10,80,0.9862133219104733
100,0.0021,12,31,0.9842278860569714
100,0.0021,12,50,0.9827886056971514
100,0.0021,12,80,0.9828057399871494
125,0.0021,8,31,0.9870529021203684
125,0.0021,8,50,0.9870743199828657
125,0.0021,8,80,0.9870743199828657
125,0.0021,10,31,0.9864489183979439
125,0.0021,10,50,0.9858577853930177
125,0.0021,10,80,0.9858449346755194
125,0.0021,12,31,0.9844591989719425
125,0.0021,12,50,0.9826172627971729
125,0.0021,12,80,0.9826429642321697
150,0.0021,8,31,0.986975797815378
150,0.0021,8,50,0.9869329620903835
150,0.0021,8,80,0.9869329620903835
150,0.0021,10,31,0.9865774255729278
150,0.0021,10,50,0.9858449346755194
150,0.0021,10,80,0.9858535018205182
150,0.0021,12,31,0.9849775112443778
150,0.0021,12,50,0.9830841721996144
150,0.0021,12,80,0.9829599485971301
175,0.0021,8,31,0.9869800813878774
175,0.0021,8,50,0.9869158278003856
175,0.0021,8,80,0.9869158278003856
175,0.0021,10,31,0.9869072606553866
175,0.0021,10,50,0.9860655386592417
175,0.0021,10,80,0.9860698222317412
175,0.0021,12,31,0.9856414649817948
175,0.0021,12,50,0.9833326194045835
175,0.0021,12,80,0.9833369029770829
200,0.0021,8,31,0.9867551938316557
200,0.0021,8,50,0.9868173056328979
200,0.0021,8,80,0.9868173056328979
200,0.0021,10,31,0.9869115442278861
200,0.0021,10,50,0.9860312700792461
